date,item_id,p10,p50,p90
1/1/2022 0:00,0 - 4,207.3104872,214.5178075,221.7251279
1/1/2022 0:00,5 - 9,250.2701926,273.6668191,289.3983119
1/1/2022 0:00,10 -14,267.6629956,291.250446,316.5641979
1/1/2022 0:00,15 - 19,262.2131348,272.6351013,272.6351013
1/1/2022 0:00,20 - 24,310.7115784,322.9159241,322.9159241
1/1/2022 0:00,25 - 29,408.9265747,443.2412415,443.2412415
1/1/2022 0:00,30 - 34,489.1187023,508.975152,515.777022
1/1/2022 0:00,35 - 39,523.1477661,573.0577393,573.0577393
1/1/2022 0:00,40 - 44,541.4287109,579.3635254,579.3635254
1/1/2022 0:00,45 - 49,545.130127,571.6344604,571.6344604
1/1/2022 0:00,50 - 54,565.9732433,575.5469587,579.1331863
1/1/2022 0:00,55 - 59,579.8908691,605.3994751,605.3994751
1/1/2022 0:00,60 - 64,560.4926758,610.9266968,610.9266968
1/1/2022 0:00,65 - 69,504.8723251,518.4973511,532.1223772
1/1/2022 0:00,70 - 74,357.5399857,370.6993345,381.5005537
1/1/2022 0:00,75 - 79,196.2340393,201.7352753,201.7352753
1/1/2022 0:00,80 - 84,157.2792445,161.770324,164.6351882
1/1/2022 0:00,>= 85,229.1933825,234.7533559,238.3240233
1/1/2023 0:00,0 - 4,187.7575886,202.6594992,217.5614098
1/1/2023 0:00,5 - 9,235.561399,260.7265161,285.4225456
1/1/2023 0:00,10 -14,259.6116796,289.5342386,319.7589855
1/1/2023 0:00,15 - 19,248.3299103,253.2938843,278.2037354
1/1/2023 0:00,20 - 24,294.2389832,294.7788086,320.59729
1/1/2023 0:00,25 - 29,402.9118652,424.5879211,459.0603333
1/1/2023 0:00,30 - 34,467.7852159,492.5069949,521.1022261
1/1/2023 0:00,35 - 39,517.7402954,564.5383911,613.1468506
1/1/2023 0:00,40 - 44,535.0280151,582.0372314,634.7262573
1/1/2023 0:00,45 - 49,537.1696167,565.0368652,613.088562
1/1/2023 0:00,50 - 54,559.9548851,574.7946327,601.7112541
1/1/2023 0:00,55 - 59,568.5324707,589.3110352,619.7285156
1/1/2023 0:00,60 - 64,556.84375,610.0985718,644.9448242
1/1/2023 0:00,65 - 69,514.0114279,544.7958233,575.5802187
1/1/2023 0:00,70 - 74,368.7339616,389.3900593,412.2313641
1/1/2023 0:00,75 - 79,195.2969055,203.0757294,218.104187
1/1/2023 0:00,80 - 84,149.4802384,156.5016986,165.359796
1/1/2023 0:00,>= 85,232.5576717,243.7145324,254.7417723
1/1/2024 0:00,0 - 4,169.7716105,192.9449852,216.11836
1/1/2024 0:00,5 - 9,219.3535412,255.9384778,289.3753488
1/1/2024 0:00,10 -14,253.7500171,295.0552731,334.4751073
1/1/2024 0:00,15 - 19,247.8045349,271.7946777,304.3885498
1/1/2024 0:00,20 - 24,285.1800537,299.6331482,336.6634521
1/1/2024 0:00,25 - 29,379.2510681,416.2585754,462.3588867
1/1/2024 0:00,30 - 34,440.2744228,479.8514815,520.0068188
1/1/2024 0:00,35 - 39,497.4668579,568.3753662,619.2606812
1/1/2024 0:00,40 - 44,516.7376709,585.5379028,633.3441772
1/1/2024 0:00,45 - 49,520.6890869,572.944519,617.2816162
1/1/2024 0:00,50 - 54,554.0504383,582.6128771,615.426323
1/1/2024 0:00,55 - 59,550.1376953,574.5687866,604.5457153
1/1/2024 0:00,60 - 64,552.0932617,613.7294922,643.4033203
1/1/2024 0:00,65 - 69,518.9638338,571.0942955,623.2247571
1/1/2024 0:00,70 - 74,381.0062872,408.8553942,436.3476678
1/1/2024 0:00,75 - 79,193.5066223,210.3980255,224.8391418
1/1/2024 0:00,80 - 84,142.4073742,154.5912382,167.8377744
1/1/2024 0:00,>= 85,238.7248845,253.1173773,267.5702751
1/1/2025 0:00,0 - 4,153.3469621,184.9827019,216.6184416
1/1/2025 0:00,5 - 9,203.561142,250.6473547,289.5822772
1/1/2025 0:00,10 -14,239.5385653,291.6200869,340.9589033
1/1/2025 0:00,15 - 19,243.6247101,284.1263428,320.726532
1/1/2025 0:00,20 - 24,278.2981567,308.760437,345.3695068
1/1/2025 0:00,25 - 29,369.3811035,413.8757629,456.8474426
1/1/2025 0:00,30 - 34,416.4409878,471.2029291,522.0230052
1/1/2025 0:00,35 - 39,489.576416,574.9204712,633.0911865
1/1/2025 0:00,40 - 44,506.9744263,585.6190796,642.4067383
1/1/2025 0:00,45 - 49,519.1298218,586.072876,647.5493774
1/1/2025 0:00,50 - 54,553.1023624,595.6911903,645.826832
1/1/2025 0:00,55 - 59,536.9514771,569.1415405,618.2206421
1/1/2025 0:00,60 - 64,545.8143921,619.3025513,669.2681885
1/1/2025 0:00,65 - 69,520.1246205,597.3927676,674.6609148
1/1/2025 0:00,70 - 74,383.8699126,424.3067523,478.1024525
1/1/2025 0:00,75 - 79,195.890274,219.6663208,241.3182831
1/1/2025 0:00,80 - 84,134.4496044,152.7725997,172.388165
1/1/2025 0:00,>= 85,242.3990657,264.8432918,284.7001216
1/1/2026 0:00,0 - 4,138.3847892,178.4533267,218.5218642
1/1/2026 0:00,5 - 9,183.7468539,234.9551791,283.9099716
1/1/2026 0:00,10 -14,230.012808,293.0970359,352.1635958
1/1/2026 0:00,15 - 19,243.1960449,281.3309326,313.5037537
1/1/2026 0:00,20 - 24,270.6277466,300.3502502,338.4852905
1/1/2026 0:00,25 - 29,346.9148254,392.8886108,443.524231
1/1/2026 0:00,30 - 34,387.7436633,454.071849,517.8957869
1/1/2026 0:00,35 - 39,470.6372681,554.5940552,611.9035645
1/1/2026 0:00,40 - 44,496.178833,577.5721436,635.8438721
1/1/2026 0:00,45 - 49,510.8573608,575.4125977,634.7666016
1/1/2026 0:00,50 - 54,546.2982287,594.9949089,650.2877805
1/1/2026 0:00,55 - 59,516.1054077,542.3615723,595.2790527
1/1/2026 0:00,60 - 64,528.6627808,594.2227783,644.5479126
1/1/2026 0:00,65 - 69,517.7291053,623.6912398,729.6533743
1/1/2026 0:00,70 - 74,394.9634808,446.4720195,493.1246304
1/1/2026 0:00,75 - 79,197.0771484,220.2454834,239.7102203
1/1/2026 0:00,80 - 84,126.730979,149.1112369,173.0772588
1/1/2026 0:00,>= 85,241.9353704,269.7926809,295.5238442
1/1/2027 0:00,0 - 4,124.7512988,173.0963215,221.4413441
1/1/2027 0:00,5 - 9,169.3415373,228.1867072,289.5419795
1/1/2027 0:00,10 -14,221.71895,296.5093459,369.6762127
1/1/2027 0:00,15 - 19,232.5226288,283.1308594,328.5661011
1/1/2027 0:00,20 - 24,265.8204651,302.030365,353.5457764
1/1/2027 0:00,25 - 29,347.2408447,388.026123,448.6500244
1/1/2027 0:00,30 - 34,365.8491208,442.6344177,523.5089033
1/1/2027 0:00,35 - 39,467.9149475,559.2084351,634.9070435
1/1/2027 0:00,40 - 44,490.9932251,583.0372314,656.6533813
1/1/2027 0:00,45 - 49,503.8759766,581.1807251,645.0252075
